,Powierzchnia,Liczba pokoi,Rynek,Rodzaj zabudowy,Piętro,Liczba pięter,Materiał budynku,Ogrzewanie,Rok budowy,Stan wykończenia,Forma własności,Okna,Czynsz,Dostępne od,Cena
1447,30.30,1,pierwotny,apartamentowiec,1,4,,miejskie,2018,do wykończenia,,plastikowe,,,195000.0
1448,136.49,5,pierwotny,apartamentowiec,4,4,,miejskie,2018,do wykończenia,,plastikowe,,,970000.0
1449,63,3,wtórny,blok,3,11,wielka płyta,miejskie,1980,,pełna własność,,,,349000.0
1450,82.28,4,pierwotny,apartamentowiec,3,4,,miejskie,2018,do wykończenia,,plastikowe,,,560000.0
1451,75,4,wtórny,,2,3,,,,,,,,,390000.0
1452,132.10,6,wtórny,,4,4,,,,,pełna własność,,,,778000.0
1453,56.80,3,wtórny,,1,10,,miejskie,,,spółdzielcze wł. z KW,,,,320000.0
1454,50,2,pierwotny,apartamentowiec,1,5,,miejskie,,,pełna własność,,,,283000.0
1455,50,2,pierwotny,apartamentowiec,1,5,,miejskie,,,pełna własność,,,,283000.0
1456,46.61,2,pierwotny,,2,5,,miejskie,,,pełna własność,plastikowe,,,258500.0
1457,51.50,2,pierwotny,apartamentowiec,0,5,,miejskie,,,pełna własność,plastikowe,,,277500.0
1458,104,4,wtórny,,0,,,,,,,,,,380000.0
1459,72,3,pierwotny,apartamentowiec,0,5,,miejskie,,,pełna własność,plastikowe,,,394200.0
1460,91,4,pierwotny,apartamentowiec,3,5,,miejskie,,,pełna własność,plastikowe,,,499500.0
1461,200,8,wtórny,kamienica,3,5,inne,miejskie,1920,do remontu,pełna własność,drewniane,600,,699000.0
1462,71,3,wtórny,apartamentowiec,0,8,silikat,miejskie,,do zamieszkania,pełna własność,plastikowe,,,555000.0
1463,36.21,2,pierwotny,apartamentowiec,0,8,,miejskie,2019,,pełna własność,,,,291491.0
1464,44,4,wtórny,blok,3,10,wielka płyta,miejskie,1980,do zamieszkania,pełna własność,plastikowe,300,,299000.0
1465,60,2,wtórny,kamienica,1,3,cegła,miejskie,1920,,pełna własność,,,2019-02-01,330000.0
1466,54.39,3,pierwotny,,1,5,,,,,pełna własność,,,,320901.0
